EmployeeNumber,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_comp_worked,Age_Over18,Work_Overtime,Salary_Hike_Percentage,Performance_Rating,Relationship_Satisfaction,Std_working_hours,Stack_Option_Level,Total_working_years,Train_time_last_year,work_life_balance,Years_company,Years_current_role,Years_Promotion,Years_curr_mangaer
14,1,Male                ,84,4,1,Laboratory Technician                   ,2,Married                                 ,2426.0,16479.0,0,Y         ,No        ,13.0,3,3,80,1,6.0,5,3,5.0,4.0,0.0,3.0
15,4,Female              ,49,2,2,Laboratory Technician                   ,3,Single                                  ,4193.0,12682.0,0,Y         ,Yes       ,12.0,3,4,80,0,10.0,3,3,9.0,5.0,0.0,8.0
16,1,Male                ,31,3,1,Research Scientist                      ,3,Divorced                                ,2911.0,15170.0,1,Y         ,No        ,17.0,3,4,80,1,5.0,1,2,5.0,2.0,4.0,3.0
18,2,Male                ,93,3,1,Laboratory Technician                   ,4,Divorced                                ,2661.0,8758.0,0,Y         ,No        ,11.0,3,3,80,1,3.0,2,3,2.0,2.0,1.0,2.0
19,3,Male                ,50,2,1,Laboratory Technician                   ,3,Single                                  ,2028.0,12947.0,5,Y         ,Yes       ,14.0,3,2,80,0,6.0,4,3,4.0,2.0,0.0,3.0
20,2,Female              ,51,4,3,Manufacturing Director                  ,1,Divorced                                ,9980.0,10195.0,1,Y         ,No        ,11.0,3,3,80,1,10.0,1,3,10.0,9.0,8.0,8.0
21,1,Male                ,80,4,1,Research Scientist                      ,2,Divorced                                ,3298.0,15053.0,0,Y         ,Yes       ,12.0,3,4,80,2,7.0,5,2,6.0,2.0,0.0,5.0
22,4,Male                ,96,4,1,Laboratory Technician                   ,4,Divorced                                ,2935.0,7324.0,1,Y         ,Yes       ,13.0,3,2,80,2,1.0,2,2,1.0,0.0,0.0,0.0
23,1,Female              ,78,2,4,Manager                                 ,4,Married                                 ,15427.0,22021.0,2,Y         ,No        ,16.0,3,3,80,0,31.0,3,3,25.0,8.0,3.0,7.0
24,4,Male                ,45,3,1,Research Scientist                      ,4,Single                                  ,3944.0,4306.0,5,Y         ,Yes       ,11.0,3,3,80,0,6.0,3,3,3.0,2.0,1.0,2.0
26,1,Female              ,96,4,2,Manufacturing Director                  ,3,Divorced                                ,4011.0,8232.0,0,Y         ,No        ,18.0,3,4,80,1,5.0,5,2,4.0,2.0,1.0,3.0
27,3,Male                ,82,2,1,Sales Representative                    ,1,Single                                  ,3407.0,6986.0,7,Y         ,No        ,23.0,4,2,80,0,10.0,4,3,5.0,3.0,0.0,3.0
28,1,Female              ,53,3,3,Research Director                       ,2,Single                                  ,11994.0,21293.0,0,Y         ,No        ,11.0,3,3,80,0,13.0,4,3,12.0,6.0,2.0,11.0
30,3,Male                ,96,3,1,Research Scientist                      ,4,Single                                  ,1232.0,19281.0,1,Y         ,No        ,14.0,3,4,80,0,0.0,6,3,0.0,0.0,0.0,0.0
31,2,Male                ,83,3,1,Research Scientist                      ,1,Single                                  ,2960.0,17102.0,2,Y         ,No        ,11.0,3,3,80,0,8.0,2,3,4.0,2.0,1.0,3.0
32,3,Female              ,58,3,5,Manager                                 ,3,Divorced                                ,19094.0,10735.0,4,Y         ,No        ,11.0,3,4,80,1,26.0,3,2,14.0,13.0,4.0,8.0
33,2,Female              ,72,1,1,Research Scientist                      ,1,Single                                  ,3919.0,4681.0,1,Y         ,Yes       ,22.0,4,2,80,0,10.0,5,3,10.0,2.0,6.0,7.0
35,3,Male                ,48,3,2,Sales Executive                         ,2,Married                                 ,6825.0,21173.0,0,Y         ,No        ,11.0,3,4,80,1,10.0,2,3,9.0,7.0,4.0,2.0
36,1,Female              ,42,2,3,Healthcare Representative               ,4,Married                                 ,10248.0,2094.0,3,Y         ,No        ,14.0,3,4,80,1,24.0,4,3,22.0,6.0,5.0,17.0
38,2,Female              ,83,3,5,Manager                                 ,1,Single                                  ,18947.0,22822.0,3,Y         ,No        ,12.0,3,4,80,0,22.0,2,2,2.0,2.0,2.0,1.0
39,3,Male                ,78,3,1,Laboratory Technician                   ,4,Single                                  ,2496.0,6670.0,4,Y         ,No        ,11.0,3,4,80,0,7.0,3,3,1.0,1.0,0.0,0.0
40,4,Male                ,41,3,2,Healthcare Representative               ,4,Married                                 ,6465.0,19121.0,2,Y         ,Yes       ,13.0,3,4,80,0,9.0,5,4,4.0,2.0,1.0,3.0
41,4,Male                ,83,2,1,Laboratory Technician                   ,3,Single                                  ,2206.0,16117.0,1,Y         ,No        ,13.0,3,1,80,0,10.0,5,3,10.0,0.0,1.0,8.0
42,4,Male                ,56,3,2,Sales Representative                    ,4,Married                                 ,2086.0,3335.0,3,Y         ,No        ,14.0,3,3,80,1,19.0,6,4,1.0,0.0,0.0,0.0
45,2,Male                ,61,3,1,Research Scientist                      ,4,Married                                 ,2293.0,3020.0,2,Y         ,Yes       ,16.0,3,1,80,1,6.0,2,2,2.0,0.0,2.0,0.0
46,4,Female              ,72,4,1,Research Scientist                      ,3,Divorced                                ,2645.0,21923.0,1,Y         ,No        ,12.0,3,4,80,2,6.0,3,2,5.0,3.0,1.0,4.0
47,1,Male                ,86,2,1,Sales Representative                    ,3,Married                                 ,2683.0,3810.0,1,Y         ,Yes       ,14.0,3,3,80,0,3.0,2,3,3.0,2.0,0.0,2.0
49,4,Female              ,97,3,1,Sales Representative                    ,4,Married                                 ,2014.0,9687.0,1,Y         ,No        ,13.0,3,1,80,0,2.0,3,3,2.0,2.0,2.0,2.0
51,2,Female              ,82,2,1,Research Scientist                      ,1,Married                                 ,3419.0,13072.0,9,Y         ,Yes       ,14.0,3,4,80,1,6.0,3,4,1.0,1.0,0.0,0.0
52,3,Female              ,42,4,2,Sales Executive                         ,1,Married                                 ,5376.0,3193.0,2,Y         ,No        ,19.0,3,1,80,2,10.0,3,3,5.0,3.0,1.0,3.0
53,3,Male                ,75,3,1,Laboratory Technician                   ,4,Divorced                                ,1951.0,10910.0,1,Y         ,No        ,12.0,3,3,80,1,1.0,3,3,1.0,0.0,0.0,0.0
54,4,Female              ,33,3,1,Laboratory Technician                   ,1,Divorced                                ,2341.0,19715.0,1,Y         ,No        ,13.0,3,4,80,1,1.0,6,3,1.0,0.0,0.0,0.0
55,1,Male                ,48,1,1,Laboratory Technician                   ,3,Single                                  ,2293.0,10558.0,1,Y         ,No        ,12.0,3,3,80,0,1.0,2,2,1.0,0.0,0.0,1.0
56,4,Male                ,37,3,3,Sales Executive                         ,3,Single                                  ,8726.0,2975.0,1,Y         ,No        ,15.0,3,4,80,0,9.0,0,3,9.0,8.0,1.0,7.0
57,3,Female              ,58,3,2,Laboratory Technician                   ,4,Single                                  ,4011.0,10781.0,1,Y         ,No        ,23.0,4,4,80,0,12.0,2,3,12.0,8.0,3.0,7.0
58,2,Female              ,49,3,5,Research Director                       ,3,Married                                 ,19545.0,16280.0,1,Y         ,No        ,12.0,3,4,80,0,23.0,0,3,22.0,15.0,15.0,8.0
60,2,Male                ,72,3,2,Sales Executive                         ,3,Single                                  ,4568.0,10034.0,0,Y         ,No        ,20.0,4,3,80,0,10.0,2,3,9.0,5.0,8.0,7.0
61,2,Male                ,73,3,1,Research Scientist                      ,2,Married                                 ,3022.0,10227.0,4,Y         ,No        ,21.0,4,1,80,0,8.0,1,3,1.0,0.0,0.0,0.0
62,1,Male                ,98,3,2,Sales Executive                         ,4,Single                                  ,5772.0,20445.0,4,Y         ,Yes       ,21.0,4,3,80,0,14.0,4,3,9.0,6.0,0.0,8.0
63,4,Male                ,36,4,1,Laboratory Technician                   ,4,Married                                 ,2269.0,4892.0,1,Y         ,No        ,19.0,3,4,80,0,1.0,2,3,1.0,0.0,0.0,1.0
64,1,Male                ,98,2,3,Laboratory Technician                   ,3,Single                                  ,5381.0,19294.0,9,Y         ,Yes       ,13.0,3,4,80,0,23.0,2,3,1.0,0.0,0.0,0.0
65,3,Male                ,50,3,1,Laboratory Technician                   ,3,Single                                  ,3441.0,11179.0,1,Y         ,Yes       ,13.0,3,3,80,0,2.0,3,2,2.0,2.0,2.0,2.0
68,2,Female              ,75,3,2,Sales Executive                         ,1,Divorced                                ,5454.0,4009.0,5,Y         ,Yes       ,21.0,4,3,80,1,9.0,2,2,4.0,3.0,1.0,3.0
70,3,Male                ,79,2,3,Healthcare Representative               ,1,Married                                 ,9884.0,8302.0,2,Y         ,Yes       ,13.0,3,3,80,1,10.0,3,3,4.0,0.0,2.0,3.0
72,3,Female              ,47,2,2,Sales Executive                         ,4,Married                                 ,4157.0,21436.0,7,Y         ,Yes       ,19.0,3,3,80,1,5.0,2,2,2.0,2.0,0.0,0.0
73,1,Female              ,98,3,3,Research Director                       ,4,Single                                  ,13458.0,15146.0,1,Y         ,Yes       ,12.0,3,3,80,0,15.0,1,3,15.0,14.0,8.0,12.0
74,2,Male                ,71,3,3,Sales Executive                         ,1,Married                                 ,9069.0,11031.0,1,Y         ,No        ,22.0,4,4,80,1,9.0,3,2,9.0,8.0,1.0,8.0
75,3,Female              ,30,3,1,Laboratory Technician                   ,1,Married                                 ,4014.0,16002.0,3,Y         ,Yes       ,15.0,3,3,80,1,4.0,3,3,2.0,2.0,2.0,2.0
76,4,Male                ,48,3,2,Laboratory Technician                   ,4,Divorced                                ,5915.0,9528.0,3,Y         ,No        ,22.0,4,4,80,1,10.0,3,2,7.0,7.0,1.0,7.0
77,1,Male                ,51,2,2,Manufacturing Director                  ,3,Divorced                                ,5993.0,2689.0,1,Y         ,No        ,18.0,3,3,80,1,7.0,2,4,7.0,5.0,0.0,7.0
78,1,Male                ,33,3,2,Manufacturing Director                  ,4,Married                                 ,6162.0,10877.0,1,Y         ,Yes       ,22.0,4,2,80,1,9.0,3,3,9.0,8.0,7.0,8.0
79,4,Female              ,50,3,2,Laboratory Technician                   ,4,Single                                  ,2406.0,5456.0,1,Y         ,No        ,11.0,3,4,80,0,10.0,2,3,10.0,3.0,9.0,9.0
80,2,Female              ,43,2,5,Research Director                       ,3,Divorced                                ,18740.0,16701.0,5,Y         ,Yes       ,12.0,3,4,80,1,29.0,2,2,27.0,3.0,13.0,8.0
81,1,Female              ,99,3,3,Sales Executive                         ,1,Single                                  ,7637.0,2354.0,7,Y         ,No        ,11.0,3,4,80,0,28.0,3,2,21.0,16.0,7.0,9.0
83,3,Female              ,59,3,3,Healthcare Representative               ,3,Divorced                                ,10096.0,8202.0,1,Y         ,No        ,13.0,3,2,80,3,17.0,2,3,17.0,14.0,12.0,8.0
84,4,Female              ,33,3,4,Manager                                 ,3,Divorced                                ,14756.0,19730.0,2,Y         ,Yes       ,14.0,3,3,80,3,21.0,2,3,5.0,0.0,0.0,2.0
85,2,Male                ,95,2,2,Manufacturing Director                  ,2,Single                                  ,6499.0,22656.0,1,Y         ,No        ,13.0,3,3,80,0,6.0,3,3,6.0,5.0,0.0,3.0
86,2,Male                ,59,3,3,Research Scientist                      ,1,Divorced                                ,9724.0,18787.0,2,Y         ,No        ,17.0,3,3,80,1,25.0,2,3,1.0,0.0,0.0,0.0
88,2,Male                ,79,3,1,Research Scientist                      ,1,Married                                 ,2194.0,5868.0,4,Y         ,No        ,13.0,3,4,80,1,5.0,2,2,3.0,2.0,1.0,2.0
90,4,Male                ,79,2,1,Research Scientist                      ,3,Married                                 ,3388.0,21777.0,0,Y         ,Yes       ,17.0,3,1,80,1,2.0,0,2,1.0,0.0,0.0,0.0
91,1,Female              ,57,2,2,Sales Executive                         ,3,Single                                  ,5473.0,24668.0,7,Y         ,No        ,11.0,3,4,80,0,20.0,2,2,4.0,3.0,1.0,3.0
94,3,Male                ,76,3,1,Research Scientist                      ,2,Married                                 ,2703.0,4956.0,0,Y         ,No        ,23.0,4,4,80,1,6.0,3,3,5.0,4.0,0.0,4.0
95,3,Male                ,87,3,1,Research Scientist                      ,2,Single                                  ,2501.0,18775.0,1,Y         ,No        ,17.0,3,2,80,0,1.0,4,3,1.0,1.0,1.0,0.0
96,2,Male                ,66,3,2,Research Scientist                      ,2,Married                                 ,6220.0,7346.0,1,Y         ,No        ,17.0,3,2,80,2,10.0,3,3,10.0,4.0,0.0,9.0
97,2,Female              ,55,4,1,Laboratory Technician                   ,4,Married                                 ,3038.0,22002.0,3,Y         ,No        ,12.0,3,2,80,0,5.0,3,3,1.0,0.0,0.0,0.0
98,3,Female              ,61,3,2,Manufacturing Director                  ,4,Single                                  ,4424.0,20682.0,1,Y         ,No        ,23.0,4,4,80,0,11.0,2,3,11.0,7.0,1.0,8.0
100,3,Male                ,32,2,2,Sales Executive                         ,1,Single                                  ,4312.0,23016.0,0,Y         ,No        ,14.0,3,2,80,0,16.0,2,3,15.0,13.0,2.0,8.0
101,4,Male                ,52,3,3,Research Director                       ,1,Married                                 ,13245.0,15067.0,4,Y         ,Yes       ,14.0,3,2,80,0,17.0,3,4,0.0,0.0,0.0,0.0
102,1,Male                ,30,3,3,Research Director                       ,3,Single                                  ,13664.0,25258.0,4,Y         ,No        ,13.0,3,1,80,0,16.0,3,4,5.0,2.0,0.0,2.0
103,2,Male                ,80,3,2,Human Resources                         ,2,Divorced                                ,5021.0,10425.0,8,Y         ,Yes       ,22.0,4,4,80,1,16.0,2,3,4.0,2.0,0.0,2.0
104,4,Male                ,55,2,2,Laboratory Technician                   ,4,Married                                 ,5126.0,15998.0,1,Y         ,Yes       ,12.0,3,3,80,2,10.0,1,2,10.0,8.0,3.0,0.0
105,2,Male                ,30,2,1,Research Scientist                      ,3,Single                                  ,2859.0,26278.0,1,Y         ,No        ,18.0,3,1,80,0,6.0,3,3,6.0,4.0,0.0,4.0
106,1,Male                ,70,3,3,Sales Executive                         ,4,Married                                 ,10239.0,18092.0,3,Y         ,No        ,14.0,3,4,80,1,24.0,4,3,1.0,0.0,1.0,0.0
107,2,Female              ,79,1,2,Research Scientist                      ,4,Divorced                                ,5329.0,15717.0,7,Y         ,Yes       ,12.0,3,4,80,3,17.0,3,3,13.0,11.0,1.0,9.0
110,1,Male                ,94,3,2,Manufacturing Director                  ,2,Married                                 ,4325.0,17736.0,1,Y         ,No        ,15.0,3,3,80,0,5.0,2,3,5.0,2.0,1.0,3.0
112,4,Male                ,49,1,3,Manufacturing Director                  ,4,Single                                  ,7260.0,21698.0,4,Y         ,No        ,11.0,3,1,80,0,37.0,3,2,6.0,4.0,0.0,2.0
113,3,Male                ,62,3,1,Sales Representative                    ,1,Divorced                                ,2322.0,9518.0,3,Y         ,No        ,13.0,3,3,80,1,3.0,3,3,0.0,0.0,0.0,0.0
116,4,Male                ,96,3,1,Laboratory Technician                   ,4,Married                                 ,2075.0,18725.0,3,Y         ,No        ,23.0,4,2,80,2,10.0,4,3,4.0,2.0,0.0,3.0
117,3,Male                ,99,2,2,Healthcare Representative               ,4,Married                                 ,4152.0,15830.0,1,Y         ,No        ,19.0,3,1,80,3,11.0,3,3,11.0,10.0,10.0,8.0
118,3,Male                ,64,2,3,Sales Executive                         ,4,Single                                  ,9619.0,13596.0,1,Y         ,No        ,16.0,3,4,80,0,9.0,3,3,9.0,8.0,4.0,7.0
119,3,Male                ,78,2,4,Healthcare Representative               ,2,Married                                 ,13503.0,14115.0,1,Y         ,No        ,22.0,4,4,80,1,22.0,3,2,22.0,3.0,11.0,11.0
120,3,Male                ,71,3,2,Sales Executive                         ,4,Single                                  ,5441.0,8423.0,0,Y         ,Yes       ,22.0,4,4,80,0,11.0,2,1,10.0,7.0,1.0,0.0
121,3,Female              ,63,2,2,Sales Executive                         ,2,Divorced                                ,5209.0,19760.0,1,Y         ,Yes       ,12.0,3,2,80,3,11.0,4,2,11.0,8.0,2.0,7.0
124,3,Male                ,40,2,3,Healthcare Representative               ,1,Married                                 ,10673.0,3142.0,2,Y         ,Yes       ,13.0,3,3,80,1,21.0,5,2,10.0,9.0,9.0,5.0
125,2,Male                ,87,3,2,Sales Executive                         ,3,Single                                  ,5010.0,24301.0,1,Y         ,No        ,16.0,3,1,80,0,12.0,0,3,11.0,8.0,5.0,7.0
126,1,Female              ,60,3,3,Research Director                       ,3,Married                                 ,13549.0,24001.0,9,Y         ,No        ,12.0,3,1,80,1,16.0,5,1,4.0,3.0,0.0,3.0
128,1,Female              ,33,3,2,Sales Executive                         ,3,Married                                 ,4999.0,17519.0,0,Y         ,No        ,21.0,4,1,80,1,4.0,2,2,3.0,2.0,0.0,2.0
129,2,Male                ,43,3,2,Sales Executive                         ,3,Married                                 ,4221.0,8863.0,1,Y         ,No        ,15.0,3,2,80,0,5.0,3,4,5.0,4.0,0.0,4.0
131,4,Male                ,37,3,4,Sales Executive                         ,3,Single                                  ,13872.0,24409.0,0,Y         ,No        ,13.0,3,3,80,0,38.0,1,2,37.0,10.0,1.0,8.0
132,2,Male                ,67,3,2,Laboratory Technician                   ,2,Married                                 ,2042.0,25043.0,4,Y         ,No        ,12.0,3,3,80,1,17.0,3,4,3.0,2.0,1.0,2.0
133,3,Male                ,63,3,1,Human Resources                         ,1,Divorced                                ,2073.0,23648.0,4,Y         ,Yes       ,22.0,4,4,80,0,7.0,3,3,3.0,2.0,0.0,2.0
134,4,Male                ,71,3,1,Research Scientist                      ,1,Single                                  ,2956.0,15178.0,1,Y         ,No        ,13.0,3,4,80,0,1.0,2,3,1.0,0.0,0.0,0.0
137,4,Female              ,66,2,1,Laboratory Technician                   ,4,Single                                  ,2926.0,19783.0,1,Y         ,Yes       ,18.0,3,2,80,0,1.0,5,3,1.0,0.0,1.0,0.0
138,1,Female              ,41,3,2,Research Scientist                      ,3,Single                                  ,4809.0,12482.0,1,Y         ,No        ,14.0,3,3,80,0,16.0,3,3,16.0,13.0,2.0,10.0
139,3,Male                ,100,2,2,Healthcare Representative               ,4,Divorced                                ,5163.0,15850.0,5,Y         ,No        ,14.0,3,4,80,1,17.0,2,4,1.0,0.0,0.0,0.0
140,3,Female              ,32,2,5,Manager                                 ,4,Married                                 ,18844.0,21922.0,9,Y         ,No        ,21.0,4,4,80,1,30.0,3,3,3.0,2.0,2.0,2.0
141,1,Female              ,73,3,5,Research Director                       ,2,Married                                 ,18172.0,9755.0,3,Y         ,Yes       ,19.0,3,1,80,0,28.0,1,2,8.0,3.0,0.0,7.0
142,3,Male                ,46,2,2,Sales Executive                         ,3,Single                                  ,5744.0,26959.0,1,Y         ,Yes       ,11.0,3,4,80,0,6.0,1,3,6.0,4.0,0.0,3.0
143,4,Male                ,64,2,1,Research Scientist                      ,4,Married                                 ,2889.0,26897.0,1,Y         ,No        ,11.0,3,3,80,2,2.0,2,3,2.0,2.0,2.0,1.0
144,2,Female              ,59,3,1,Laboratory Technician                   ,4,Single                                  ,2871.0,23785.0,1,Y         ,No        ,15.0,3,3,80,0,1.0,5,3,0.0,0.0,0.0,0.0
145,1,Female              ,30,2,3,Healthcare Representative               ,1,Single                                  ,7484.0,25796.0,3,Y         ,No        ,20.0,4,3,80,0,23.0,1,2,13.0,12.0,12.0,8.0
147,1,Male                ,66,1,2,Laboratory Technician                   ,3,Single                                  ,6074.0,22887.0,1,Y         ,Yes       ,24.0,4,4,80,0,9.0,3,3,9.0,7.0,0.0,6.0
148,4,Female              ,30,4,4,Manager                                 ,4,Single                                  ,17328.0,13871.0,2,Y         ,Yes       ,12.0,3,3,80,0,23.0,3,3,5.0,3.0,4.0,4.0
150,2,Male                ,52,3,1,Laboratory Technician                   ,3,Married                                 ,2774.0,13257.0,0,Y         ,No        ,12.0,3,3,80,1,6.0,2,3,5.0,3.0,1.0,2.0
151,3,Female              ,45,2,2,Research Scientist                      ,2,Divorced                                ,4505.0,15000.0,6,Y         ,No        ,15.0,3,3,80,1,12.0,3,3,1.0,0.0,0.0,0.0
152,3,Male                ,87,3,3,Sales Executive                         ,4,Single                                  ,7428.0,14506.0,2,Y         ,No        ,12.0,3,1,80,0,12.0,3,3,5.0,3.0,1.0,3.0
153,3,Female              ,45,2,3,Manager                                 ,1,Single                                  ,11631.0,5615.0,2,Y         ,No        ,12.0,3,4,80,0,14.0,6,3,11.0,10.0,5.0,8.0
154,2,Female              ,92,3,3,Sales Executive                         ,4,Married                                 ,9738.0,22952.0,0,Y         ,No        ,14.0,3,3,80,1,10.0,6,3,9.0,7.0,2.0,8.0
155,1,Female              ,39,3,1,Laboratory Technician                   ,4,Divorced                                ,2835.0,2561.0,5,Y         ,No        ,22.0,4,1,80,1,7.0,2,3,1.0,0.0,0.0,0.0
158,3,Male                ,92,3,4,Manager                                 ,4,Married                                 ,16959.0,19494.0,1,Y         ,Yes       ,12.0,3,4,80,2,25.0,3,4,25.0,12.0,4.0,12.0
159,1,Male                ,96,1,1,Research Scientist                      ,3,Divorced                                ,2613.0,22310.0,1,Y         ,No        ,25.0,4,3,80,3,10.0,2,2,10.0,7.0,0.0,9.0
160,3,Male                ,95,3,2,Sales Executive                         ,2,Married                                 ,6146.0,15480.0,0,Y         ,No        ,13.0,3,1,80,1,8.0,2,4,7.0,7.0,0.0,7.0
161,2,Female              ,72,3,1,Research Scientist                      ,2,Married                                 ,4963.0,4510.0,9,Y         ,Yes       ,18.0,3,1,80,3,7.0,2,3,5.0,4.0,4.0,3.0
162,1,Male                ,51,3,5,Research Director                       ,3,Single                                  ,19537.0,6462.0,7,Y         ,No        ,13.0,3,3,80,0,23.0,5,3,20.0,18.0,15.0,15.0
163,2,Male                ,76,1,2,Sales Executive                         ,3,Married                                 ,6172.0,20739.0,4,Y         ,Yes       ,18.0,3,2,80,0,12.0,3,2,7.0,7.0,7.0,7.0
164,3,Female              ,46,2,1,Research Scientist                      ,2,Married                                 ,2368.0,23300.0,1,Y         ,No        ,19.0,3,3,80,0,5.0,3,2,5.0,4.0,4.0,3.0
165,4,Female              ,94,3,3,Healthcare Representative               ,4,Married                                 ,10312.0,3465.0,1,Y         ,No        ,12.0,3,4,80,1,40.0,3,2,40.0,10.0,15.0,6.0
167,4,Male                ,50,3,1,Sales Representative                    ,3,Single                                  ,1675.0,26820.0,1,Y         ,Yes       ,19.0,3,4,80,0,0.0,2,2,0.0,0.0,0.0,0.0
169,3,Male                ,100,3,1,Laboratory Technician                   ,4,Married                                 ,2523.0,19299.0,0,Y         ,No        ,14.0,3,3,80,1,3.0,2,3,2.0,1.0,2.0,1.0
170,3,Female              ,96,3,2,Manufacturing Director                  ,1,Married                                 ,6567.0,5549.0,1,Y         ,No        ,14.0,3,3,80,0,16.0,2,2,15.0,11.0,5.0,11.0
171,2,Female              ,72,4,1,Research Scientist                      ,3,Single                                  ,4739.0,16090.0,4,Y         ,No        ,12.0,3,4,80,0,18.0,2,3,3.0,2.0,1.0,2.0
174,3,Female              ,77,3,3,Sales Executive                         ,4,Single                                  ,9208.0,6645.0,4,Y         ,No        ,11.0,3,4,80,0,16.0,3,3,2.0,2.0,2.0,1.0
175,2,Female              ,71,1,2,Sales Executive                         ,3,Married                                 ,4559.0,24788.0,3,Y         ,Yes       ,11.0,3,3,80,1,4.0,2,3,2.0,2.0,2.0,2.0
176,3,Male                ,96,3,3,Sales Executive                         ,3,Divorced                                ,8189.0,21196.0,3,Y         ,Yes       ,13.0,3,3,80,1,12.0,2,3,9.0,7.0,0.0,7.0
177,3,Female              ,61,3,1,Human Resources                         ,3,Married                                 ,2942.0,8916.0,1,Y         ,No        ,23.0,4,4,80,1,8.0,3,3,8.0,7.0,5.0,7.0
178,2,Male                ,84,3,2,Manufacturing Director                  ,2,Divorced                                ,4941.0,2819.0,6,Y         ,No        ,20.0,4,4,80,2,7.0,0,3,3.0,2.0,0.0,1.0
179,1,Male                ,53,1,3,Manufacturing Director                  ,4,Single                                  ,10650.0,25150.0,2,Y         ,No        ,15.0,3,4,80,0,18.0,2,3,4.0,2.0,0.0,3.0
182,4,Female              ,47,2,2,Sales Executive                         ,3,Married                                 ,5902.0,14590.0,4,Y         ,No        ,14.0,3,3,80,1,17.0,1,4,15.0,11.0,5.0,9.0
183,1,Male                ,41,2,2,Sales Executive                         ,3,Married                                 ,8639.0,24835.0,2,Y         ,No        ,18.0,3,4,80,0,6.0,3,3,2.0,2.0,2.0,2.0
184,3,Male                ,48,3,2,Human Resources                         ,4,Married                                 ,6347.0,13982.0,0,Y         ,Yes       ,19.0,3,4,80,0,12.0,2,1,11.0,9.0,4.0,7.0
190,1,Female              ,41,3,1,Laboratory Technician                   ,1,Single                                  ,4200.0,10224.0,7,Y         ,No        ,22.0,4,1,80,0,10.0,2,4,5.0,4.0,0.0,4.0
192,3,Male                ,83,3,1,Research Scientist                      ,4,Single                                  ,3452.0,9752.0,5,Y         ,No        ,13.0,3,2,80,0,9.0,2,2,6.0,5.0,0.0,3.0
193,4,Female              ,32,3,2,Research Scientist                      ,3,Single                                  ,4317.0,2302.0,3,Y         ,Yes       ,20.0,4,2,80,0,19.0,2,3,3.0,2.0,2.0,2.0
194,1,Female              ,75,3,1,Research Scientist                      ,3,Single                                  ,2632.0,23910.0,1,Y         ,No        ,14.0,3,3,80,0,5.0,4,2,5.0,4.0,0.0,4.0
195,4,Male                ,35,1,2,Sales Executive                         ,4,Divorced                                ,4668.0,22812.0,0,Y         ,No        ,17.0,3,4,80,3,9.0,2,4,8.0,7.0,0.0,7.0
197,4,Female              ,84,3,1,Research Scientist                      ,1,Divorced                                ,3204.0,10415.0,5,Y         ,No        ,14.0,3,4,80,1,8.0,3,3,3.0,2.0,2.0,2.0
198,2,Male                ,35,2,1,Laboratory Technician                   ,4,Single                                  ,2720.0,11162.0,0,Y         ,No        ,13.0,3,4,80,0,6.0,3,3,5.0,3.0,1.0,2.0
