Age,Attrition,Business_Travel,DailyRate,Department,Distance_From_Home,Education_in_years,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_comp_worked,Work_Overtime,Salary_Hike_Percentage,Performance_Rating,Relationship_Satisfaction,Stack_Option_Level,Total_working_years,Train_time_last_year,work_life_balance,Years_company,Years_current_role,Years_Promotion,Years_curr_mangaer
27,0,1,994,2,8,3,1,4,1,37,3,7,3,2,8726.0,2975.0,1,0,15.0,3,4,0,9.0,0,3,9.0,8.0,1.0,7.0
30,0,1,721,1,1,2,3,3,0,58,3,2,4,2,4011.0,10781.0,1,0,23.0,4,4,0,12.0,2,3,12.0,8.0,3.0,7.0
41,1,2,1360,1,12,3,5,2,0,49,3,5,3,1,19545.0,16280.0,1,0,12.0,3,4,0,23.0,0,3,22.0,15.0,15.0,8.0
34,0,0,1065,2,23,4,2,2,1,72,3,7,3,2,4568.0,10034.0,0,0,20.0,4,3,0,10.0,2,3,9.0,5.0,8.0,7.0
37,0,2,408,1,19,2,1,2,1,73,3,6,2,1,3022.0,10227.0,4,0,21.0,4,1,0,8.0,1,3,1.0,0.0,0.0,0.0
46,0,1,1211,2,5,4,2,1,1,98,3,7,4,2,5772.0,20445.0,4,1,21.0,4,3,0,14.0,4,3,9.0,6.0,0.0,8.0
35,0,2,1229,1,8,1,1,4,1,36,4,2,4,1,2269.0,4892.0,1,0,19.0,3,4,0,1.0,2,3,1.0,0.0,0.0,1.0
48,1,2,626,1,1,2,1,1,1,98,2,2,3,2,5381.0,19294.0,9,1,13.0,3,4,0,23.0,2,3,1.0,0.0,0.0,0.0
28,1,2,1434,1,5,4,5,3,1,50,3,2,3,2,3441.0,11179.0,1,1,13.0,3,3,0,2.0,3,2,2.0,2.0,2.0,2.0
44,0,2,1488,2,1,5,2,2,0,75,3,7,1,0,5454.0,4009.0,5,1,21.0,4,3,1,9.0,2,2,4.0,3.0,1.0,3.0
35,0,0,1097,1,11,2,3,3,1,79,2,0,1,1,9884.0,8302.0,2,1,13.0,3,3,1,10.0,3,3,4.0,0.0,2.0,3.0
26,0,2,1443,2,23,3,2,3,0,47,2,7,4,1,4157.0,21436.0,7,1,19.0,3,3,1,5.0,2,2,2.0,2.0,0.0,0.0
33,0,1,515,1,1,2,1,1,0,98,3,5,4,2,13458.0,15146.0,1,1,12.0,3,3,0,15.0,1,3,15.0,14.0,8.0,12.0
35,0,1,853,2,18,5,1,2,1,71,3,7,1,1,9069.0,11031.0,1,0,22.0,4,4,1,9.0,3,2,9.0,8.0,1.0,8.0
35,0,2,1142,1,23,4,3,3,0,30,3,2,1,1,4014.0,16002.0,3,1,15.0,3,3,1,4.0,3,3,2.0,2.0,2.0,2.0
31,0,2,655,1,7,4,1,4,1,48,3,2,4,0,5915.0,9528.0,3,0,22.0,4,4,1,10.0,3,2,7.0,7.0,1.0,7.0
37,0,2,1115,1,1,4,1,1,1,51,2,4,3,0,5993.0,2689.0,1,0,18.0,3,3,1,7.0,2,4,7.0,5.0,0.0,7.0
32,0,2,427,1,1,3,3,1,1,33,3,4,4,1,6162.0,10877.0,1,1,22.0,4,2,1,9.0,3,3,9.0,8.0,7.0,8.0
38,0,1,653,1,29,5,1,4,0,50,3,2,4,2,2406.0,5456.0,1,0,11.0,3,4,0,10.0,2,3,10.0,3.0,9.0,9.0
50,0,2,989,1,7,2,3,2,0,43,2,5,3,0,18740.0,16701.0,5,1,12.0,3,4,1,29.0,2,2,27.0,3.0,13.0,8.0
59,0,2,1435,2,25,3,1,1,0,99,3,7,1,2,7637.0,2354.0,7,0,11.0,3,4,0,28.0,3,2,21.0,16.0,7.0,9.0
36,0,2,1223,1,8,3,5,3,0,59,3,0,3,0,10096.0,8202.0,1,0,13.0,3,2,3,17.0,2,3,17.0,14.0,12.0,8.0
55,0,2,836,1,8,3,3,4,0,33,3,3,3,0,14756.0,19730.0,2,1,14.0,3,3,3,21.0,2,3,5.0,0.0,0.0,2.0
36,0,1,1195,1,11,3,1,2,1,95,2,4,2,2,6499.0,22656.0,1,0,13.0,3,3,0,6.0,3,3,6.0,5.0,0.0,3.0
45,0,2,1339,1,7,3,1,2,1,59,3,6,1,0,9724.0,18787.0,2,0,17.0,3,3,1,25.0,2,3,1.0,0.0,0.0,0.0
35,0,1,664,1,1,3,3,2,1,79,3,6,1,1,2194.0,5868.0,4,0,13.0,3,4,1,5.0,2,2,3.0,2.0,1.0,2.0
36,1,2,318,1,9,3,3,4,1,79,2,6,3,1,3388.0,21777.0,0,1,17.0,3,1,1,2.0,0,2,1.0,0.0,0.0,0.0
59,0,1,1225,2,1,1,1,1,0,57,2,7,3,2,5473.0,24668.0,7,0,11.0,3,4,0,20.0,2,2,4.0,3.0,1.0,3.0
29,0,2,1328,1,2,3,1,3,1,76,3,6,2,1,2703.0,4956.0,0,0,23.0,4,4,1,6.0,3,3,5.0,4.0,0.0,4.0
31,0,2,1082,1,1,4,3,3,1,87,3,6,2,2,2501.0,18775.0,1,0,17.0,3,2,0,1.0,4,3,1.0,1.0,1.0,0.0
32,0,2,548,1,1,3,1,2,1,66,3,6,2,1,6220.0,7346.0,1,0,17.0,3,2,2,10.0,3,3,10.0,4.0,0.0,9.0
36,0,2,132,1,6,3,1,2,0,55,4,2,4,1,3038.0,22002.0,3,0,12.0,3,2,0,5.0,3,3,1.0,0.0,0.0,0.0
31,0,2,746,1,8,4,1,3,0,61,3,4,4,2,4424.0,20682.0,1,0,23.0,4,4,0,11.0,2,3,11.0,7.0,1.0,8.0
35,0,2,776,2,1,4,2,3,1,32,2,7,1,2,4312.0,23016.0,0,0,14.0,3,2,0,16.0,2,3,15.0,13.0,2.0,8.0
45,0,2,193,1,6,4,4,4,1,52,3,5,1,1,13245.0,15067.0,4,1,14.0,3,2,0,17.0,3,4,0.0,0.0,0.0,0.0
37,0,2,397,1,7,4,3,1,1,30,3,5,3,2,13664.0,25258.0,4,0,13.0,3,1,0,16.0,3,4,5.0,2.0,0.0,2.0
46,0,2,945,0,5,2,3,2,1,80,3,1,2,0,5021.0,10425.0,8,1,22.0,4,4,1,16.0,2,3,4.0,2.0,0.0,2.0
30,0,2,852,1,1,1,1,4,1,55,2,2,4,1,5126.0,15998.0,1,1,12.0,3,3,2,10.0,1,2,10.0,8.0,3.0,0.0
35,0,2,1214,1,1,3,3,2,1,30,2,6,3,2,2859.0,26278.0,1,0,18.0,3,1,0,6.0,3,3,6.0,4.0,0.0,4.0
55,0,2,111,2,1,2,1,1,1,70,3,7,4,1,10239.0,18092.0,3,0,14.0,3,4,1,24.0,4,3,1.0,0.0,1.0,0.0
38,0,0,573,1,6,3,3,2,0,79,1,6,4,0,5329.0,15717.0,7,1,12.0,3,4,3,17.0,3,3,13.0,11.0,1.0,9.0
34,0,2,1153,1,1,2,3,1,1,94,3,4,2,1,4325.0,17736.0,1,0,15.0,3,3,0,5.0,2,3,5.0,2.0,1.0,3.0
56,0,2,1400,1,7,3,1,4,1,49,1,4,4,2,7260.0,21698.0,4,0,11.0,3,1,0,37.0,3,2,6.0,4.0,0.0,2.0
23,0,2,541,2,2,1,5,3,1,62,3,8,1,0,2322.0,9518.0,3,0,13.0,3,3,1,3.0,3,3,0.0,0.0,0.0,0.0
51,0,2,432,1,9,4,1,4,1,96,3,2,4,1,2075.0,18725.0,3,0,23.0,4,2,2,10.0,4,3,4.0,2.0,0.0,3.0
30,0,2,288,1,2,3,1,3,1,99,2,0,4,1,4152.0,15830.0,1,0,19.0,3,1,3,11.0,3,3,11.0,10.0,10.0,8.0
46,1,2,669,2,9,2,3,3,1,64,2,7,4,2,9619.0,13596.0,1,0,16.0,3,4,0,9.0,3,3,9.0,8.0,4.0,7.0
40,0,1,530,1,1,4,1,3,1,78,2,0,2,1,13503.0,14115.0,1,0,22.0,4,4,1,22.0,3,2,22.0,3.0,11.0,11.0
51,0,2,632,2,21,4,2,3,1,71,3,7,4,2,5441.0,8423.0,0,1,22.0,4,4,0,11.0,2,1,10.0,7.0,1.0,0.0
30,0,2,1334,2,4,2,3,3,0,63,2,7,2,0,5209.0,19760.0,1,1,12.0,3,2,3,11.0,4,2,11.0,8.0,2.0,7.0
46,0,1,638,1,1,3,3,3,1,40,2,0,1,1,10673.0,3142.0,2,1,13.0,3,3,1,21.0,5,2,10.0,9.0,9.0,5.0
32,0,2,1093,2,6,4,3,2,1,87,3,7,3,2,5010.0,24301.0,1,0,16.0,3,1,0,12.0,0,3,11.0,8.0,5.0,7.0
54,0,2,1217,1,2,4,5,1,0,60,3,5,3,1,13549.0,24001.0,9,0,12.0,3,1,1,16.0,5,1,4.0,3.0,0.0,3.0
24,0,2,1353,2,3,2,4,1,0,33,3,7,3,1,4999.0,17519.0,0,0,21.0,4,1,1,4.0,2,2,3.0,2.0,0.0,2.0
28,0,0,120,2,4,3,3,2,1,43,3,7,3,1,4221.0,8863.0,1,0,15.0,3,2,0,5.0,3,4,5.0,4.0,0.0,4.0
58,0,2,682,2,10,4,3,4,1,37,3,7,3,2,13872.0,24409.0,0,0,13.0,3,3,0,38.0,1,2,37.0,10.0,1.0,8.0
44,0,0,489,1,23,3,3,2,1,67,3,2,2,1,2042.0,25043.0,4,0,12.0,3,3,1,17.0,3,4,3.0,2.0,1.0,2.0
37,1,2,807,0,6,4,0,3,1,63,3,1,1,0,2073.0,23648.0,4,1,22.0,4,4,0,7.0,3,3,3.0,2.0,0.0,2.0
32,0,2,827,1,1,1,1,4,1,71,3,6,1,2,2956.0,15178.0,1,0,13.0,3,4,0,1.0,2,3,1.0,0.0,0.0,0.0
20,1,1,871,1,6,3,1,4,0,66,2,2,4,2,2926.0,19783.0,1,1,18.0,3,2,0,1.0,5,3,1.0,0.0,1.0,0.0
34,0,2,665,1,6,4,4,1,0,41,3,6,3,2,4809.0,12482.0,1,0,14.0,3,3,0,16.0,3,3,16.0,13.0,2.0,10.0
37,0,0,1040,1,2,2,1,3,1,100,2,0,4,0,5163.0,15850.0,5,0,14.0,3,4,1,17.0,2,4,1.0,0.0,0.0,0.0
59,0,0,1420,0,2,4,0,3,0,32,2,3,4,1,18844.0,21922.0,9,0,21.0,4,4,1,30.0,3,3,3.0,2.0,2.0,2.0
50,0,1,1115,1,1,3,1,1,0,73,3,5,2,1,18172.0,9755.0,3,1,19.0,3,1,0,28.0,1,2,8.0,3.0,0.0,7.0
25,1,2,240,2,5,3,2,3,1,46,2,7,3,2,5744.0,26959.0,1,1,11.0,3,4,0,6.0,1,3,6.0,4.0,0.0,3.0
25,0,2,1280,1,7,1,3,4,1,64,2,6,4,1,2889.0,26897.0,1,0,11.0,3,3,2,2.0,2,3,2.0,2.0,2.0,1.0
22,0,2,534,1,15,3,3,2,0,59,3,2,4,2,2871.0,23785.0,1,0,15.0,3,3,0,1.0,5,3,0.0,0.0,0.0,0.0
51,0,1,1456,1,1,4,3,1,0,30,2,0,1,2,7484.0,25796.0,3,0,20.0,4,3,0,23.0,1,2,13.0,12.0,12.0,8.0
34,1,1,658,1,7,3,1,1,1,66,1,2,3,2,6074.0,22887.0,1,1,24.0,4,4,0,9.0,3,3,9.0,7.0,0.0,6.0
54,0,0,142,0,26,3,0,4,0,30,4,3,4,2,17328.0,13871.0,2,1,12.0,3,3,0,23.0,3,3,5.0,3.0,4.0,4.0
24,0,2,1127,1,18,1,1,2,1,52,3,2,3,1,2774.0,13257.0,0,0,12.0,3,3,1,6.0,2,3,5.0,3.0,1.0,2.0
34,0,2,1031,1,6,4,1,3,0,45,2,6,2,0,4505.0,15000.0,6,0,15.0,3,3,1,12.0,3,3,1.0,0.0,0.0,0.0
37,0,2,1189,2,3,3,1,3,1,87,3,7,4,2,7428.0,14506.0,2,0,12.0,3,1,0,12.0,3,3,5.0,3.0,1.0,3.0
34,0,2,1354,1,5,3,3,3,0,45,2,3,1,2,11631.0,5615.0,2,0,12.0,3,4,0,14.0,6,3,11.0,10.0,5.0,8.0
36,0,1,1467,2,11,2,5,2,0,92,3,7,4,1,9738.0,22952.0,0,0,14.0,3,3,1,10.0,6,3,9.0,7.0,2.0,8.0
36,0,2,922,1,3,2,1,1,0,39,3,2,4,0,2835.0,2561.0,5,0,22.0,4,1,1,7.0,2,3,1.0,0.0,0.0,0.0
43,0,1,394,2,26,2,1,3,1,92,3,3,4,1,16959.0,19494.0,1,1,12.0,3,4,2,25.0,3,4,25.0,12.0,4.0,12.0
30,0,1,1312,1,23,3,1,1,1,96,1,6,3,0,2613.0,22310.0,1,0,25.0,4,3,3,10.0,2,2,10.0,7.0,0.0,9.0
33,0,0,750,2,22,2,2,3,1,95,3,7,2,1,6146.0,15480.0,0,0,13.0,3,1,1,8.0,2,4,7.0,7.0,0.0,7.0
56,1,2,441,1,14,4,1,2,0,72,3,6,2,1,4963.0,4510.0,9,1,18.0,3,1,3,7.0,2,3,5.0,4.0,4.0,3.0
51,0,2,684,1,6,3,1,1,1,51,3,5,3,2,19537.0,6462.0,7,0,13.0,3,3,0,23.0,5,3,20.0,18.0,15.0,15.0
31,1,2,249,2,6,4,1,2,1,76,1,7,3,1,6172.0,20739.0,4,1,18.0,3,2,0,12.0,3,2,7.0,7.0,7.0,7.0
26,0,2,841,1,6,3,4,3,0,46,2,6,2,1,2368.0,23300.0,1,0,19.0,3,3,0,5.0,3,2,5.0,4.0,4.0,3.0
58,1,2,147,1,23,4,3,4,0,94,3,0,4,1,10312.0,3465.0,1,0,12.0,3,4,1,40.0,3,2,40.0,10.0,15.0,6.0
19,1,2,528,2,22,1,2,4,1,50,3,8,3,2,1675.0,26820.0,1,1,19.0,3,4,0,0.0,2,2,0.0,0.0,0.0,0.0
22,0,2,594,1,2,1,5,3,1,100,3,2,4,1,2523.0,19299.0,0,0,14.0,3,3,1,3.0,2,3,2.0,1.0,2.0,1.0
49,0,2,470,1,20,4,3,3,0,96,3,4,1,1,6567.0,5549.0,1,0,14.0,3,3,0,16.0,2,2,15.0,11.0,5.0,11.0
43,0,1,957,1,28,3,3,2,0,72,4,6,3,2,4739.0,16090.0,4,0,12.0,3,4,0,18.0,2,3,3.0,2.0,1.0,2.0
50,0,1,809,2,12,3,2,3,0,77,3,7,4,2,9208.0,6645.0,4,0,11.0,3,4,0,16.0,3,3,2.0,2.0,2.0,1.0
31,1,2,542,2,20,3,1,2,0,71,1,7,3,1,4559.0,24788.0,3,1,11.0,3,3,1,4.0,2,3,2.0,2.0,2.0,2.0
41,0,2,802,2,9,1,1,3,1,96,3,7,3,0,8189.0,21196.0,3,1,13.0,3,3,1,12.0,2,3,9.0,7.0,0.0,7.0
26,0,2,1355,0,25,1,1,3,0,61,3,1,3,1,2942.0,8916.0,1,0,23.0,4,4,1,8.0,3,3,8.0,7.0,5.0,7.0
36,0,2,216,1,6,2,3,2,1,84,3,4,2,0,4941.0,2819.0,6,0,20.0,4,4,2,7.0,0,3,3.0,2.0,0.0,1.0
51,1,1,1150,1,8,4,1,1,1,53,1,4,4,2,10650.0,25150.0,2,0,15.0,3,4,0,18.0,2,3,4.0,2.0,0.0,3.0
39,0,2,1329,2,4,4,1,4,0,47,2,7,3,1,5902.0,14590.0,4,0,14.0,3,3,1,17.0,1,4,15.0,11.0,5.0,9.0
25,0,2,959,2,28,3,1,1,1,41,2,7,3,1,8639.0,24835.0,2,0,18.0,3,4,0,6.0,3,3,2.0,2.0,2.0,2.0
30,0,2,1240,0,9,3,0,3,1,48,3,1,4,1,6347.0,13982.0,0,1,19.0,3,4,0,12.0,2,1,11.0,9.0,4.0,7.0
32,1,2,1033,1,9,3,3,1,0,41,3,2,1,2,4200.0,10224.0,7,0,22.0,4,1,0,10.0,2,4,5.0,4.0,0.0,4.0
45,0,2,1316,1,29,3,3,3,1,83,3,6,4,2,3452.0,9752.0,5,0,13.0,3,2,0,9.0,2,2,6.0,5.0,0.0,3.0
38,0,2,364,1,3,5,5,4,0,32,3,6,3,2,4317.0,2302.0,3,1,20.0,4,2,0,19.0,2,3,3.0,2.0,2.0,2.0
30,0,2,438,1,18,3,1,1,0,75,3,6,3,2,2632.0,23910.0,1,0,14.0,3,3,0,5.0,4,2,5.0,4.0,0.0,4.0
32,0,1,689,2,9,2,3,4,1,35,1,7,4,0,4668.0,22812.0,0,0,17.0,3,4,3,9.0,2,4,8.0,7.0,0.0,7.0
30,0,2,201,1,5,3,5,4,0,84,3,6,1,0,3204.0,10415.0,5,0,14.0,3,4,1,8.0,3,3,3.0,2.0,2.0,2.0
30,0,2,1427,1,2,1,3,2,1,35,2,2,4,2,2720.0,11162.0,0,0,13.0,3,4,0,6.0,3,3,5.0,3.0,1.0,2.0
41,0,1,857,1,10,3,1,4,1,91,2,3,1,0,17181.0,12888.0,4,0,13.0,3,2,1,21.0,2,2,7.0,6.0,7.0,7.0
41,0,2,933,1,9,4,1,3,1,94,3,2,1,1,2238.0,6961.0,2,0,21.0,4,4,1,7.0,2,3,5.0,0.0,1.0,4.0
19,0,2,1181,1,3,1,3,2,0,79,3,2,2,2,1483.0,16102.0,1,0,14.0,3,4,0,1.0,3,3,1.0,0.0,0.0,0.0
40,0,1,1395,1,26,3,3,2,0,54,3,6,2,0,5605.0,8504.0,1,0,11.0,3,1,1,20.0,2,3,20.0,7.0,2.0,13.0
35,0,2,662,2,1,5,2,3,1,94,3,7,2,1,7295.0,11439.0,1,0,13.0,3,1,2,10.0,3,3,10.0,8.0,0.0,6.0
53,0,2,1436,2,6,2,2,2,1,34,3,8,3,1,2306.0,16047.0,2,1,20.0,4,4,1,13.0,3,1,7.0,7.0,4.0,5.0
45,0,2,194,1,9,3,1,2,1,60,3,2,2,0,2348.0,10901.0,8,0,18.0,3,3,1,20.0,2,1,17.0,9.0,0.0,15.0
32,0,1,967,2,8,3,2,2,0,43,3,7,4,2,8998.0,15589.0,1,0,14.0,3,4,0,9.0,2,3,9.0,8.0,3.0,7.0
29,0,0,1496,1,1,1,5,4,1,41,3,4,3,1,4319.0,26283.0,1,0,13.0,3,1,1,10.0,1,3,10.0,7.0,0.0,9.0
51,0,2,1169,1,7,4,3,2,1,34,2,4,3,1,6132.0,13983.0,2,0,17.0,3,3,0,10.0,2,3,1.0,0.0,0.0,0.0
58,0,2,1145,1,9,3,3,2,0,75,2,6,2,1,3346.0,11873.0,4,1,20.0,4,2,1,9.0,3,2,1.0,0.0,0.0,0.0
40,0,2,630,2,4,4,2,3,1,67,2,7,4,1,10855.0,8552.0,7,0,11.0,3,1,1,15.0,2,2,12.0,11.0,2.0,11.0
34,0,1,303,2,2,4,2,3,0,75,3,8,3,1,2231.0,11314.0,6,0,18.0,3,4,1,6.0,3,3,4.0,3.0,1.0,2.0
22,0,2,1256,1,19,1,3,3,1,80,3,6,4,1,2323.0,11992.0,1,0,24.0,4,1,2,2.0,6,3,2.0,2.0,2.0,2.0
27,0,0,691,1,9,3,3,4,1,57,3,6,2,0,2024.0,5970.0,6,0,18.0,3,4,1,6.0,1,1,2.0,2.0,2.0,2.0
28,0,2,440,1,21,3,3,3,1,42,3,6,4,1,2713.0,6672.0,1,0,11.0,3,3,1,5.0,2,1,5.0,2.0,0.0,2.0
57,0,2,334,1,24,2,1,3,1,83,4,0,4,0,9439.0,23402.0,3,1,16.0,3,2,1,12.0,2,1,5.0,3.0,1.0,4.0
27,0,0,1450,1,3,3,3,3,1,79,2,6,3,0,2566.0,25326.0,1,1,15.0,3,4,1,1.0,2,2,1.0,1.0,0.0,1.0
50,0,2,1452,1,11,3,1,3,0,53,3,3,2,2,19926.0,17053.0,3,0,15.0,3,2,0,21.0,5,3,5.0,4.0,4.0,4.0
41,0,2,465,1,14,3,1,1,1,56,3,6,3,0,2451.0,4609.0,4,0,12.0,3,1,1,13.0,2,3,9.0,8.0,1.0,8.0
30,0,2,1339,2,5,3,1,2,0,41,3,7,4,1,9419.0,8053.0,2,0,12.0,3,3,1,12.0,2,3,10.0,9.0,7.0,4.0
38,0,2,702,2,1,4,1,1,0,59,2,7,4,2,8686.0,12930.0,4,0,22.0,4,3,0,12.0,2,4,8.0,3.0,0.0,7.0
32,0,2,120,1,6,5,1,3,1,43,3,6,3,2,3038.0,12430.0,3,0,20.0,4,1,0,8.0,2,3,5.0,4.0,1.0,4.0
27,0,2,1157,1,17,3,5,3,1,51,3,6,2,1,3058.0,13364.0,0,1,16.0,3,4,1,6.0,3,2,5.0,2.0,1.0,1.0
19,1,1,602,2,1,1,5,3,0,100,1,8,1,2,2325.0,20989.0,0,0,21.0,4,1,0,1.0,5,4,0.0,0.0,0.0,0.0
